time_s,force_n,active_particles,mean_damage
0.00000000,0.00000000,0,0.00000000
0.01666667,0.00000000,0,0.00000000
0.03333333,0.00000000,0,0.00000000
0.05000000,0.00000000,0,0.00000000
0.06666667,164.50275421,20,0.00022692
0.08333333,423.02479553,20,0.00081045
0.10000000,665.36013794,27,0.00172825
0.11666667,980.60192871,40,0.00308091
0.13333333,994.68670654,40,0.00445300
0.15000000,1044.84658813,56,0.00589428
0.16666667,1071.03179932,57,0.00737168
0.18333333,973.00491333,46,0.00871386
0.20000000,1031.17623901,57,0.01013628
0.21666667,1028.89276123,59,0.01155556
0.23333333,934.56625366,45,0.01284471
0.25000000,956.23495483,56,0.01416376
0.26666667,1030.68197632,60,0.01558550
0.28333333,938.54312134,52,0.01688014
0.30000000,887.18460083,46,0.01810395
0.31666667,981.47357178,60,0.01945781
0.33333333,991.65249634,60,0.02082570
0.35000000,891.74282837,50,0.02205580
0.36666667,904.54306030,51,0.02330353
0.38333333,1036.79241943,60,0.02473370
0.40000000,946.42263794,57,0.02603922
0.41666667,909.20611572,50,0.02729339
0.43333333,1056.58230591,60,0.02875086
0.45000000,995.57763672,60,0.03012418
0.46666667,921.43600464,47,0.03139522
0.48333333,1058.13699341,60,0.03285483
0.50000000,1018.92614746,60,0.03426034
0.51666667,923.86633301,40,0.03553475
0.53333333,1036.53546143,60,0.03696457
0.55000000,1032.89892578,60,0.03838937
0.56666667,924.27746582,42,0.03966434
0.58333333,996.21914673,60,0.04103852
0.60000000,1052.48840332,60,0.04249035
0.61666667,929.01782227,50,0.04377185
0.63333333,949.67001343,58,0.04508185
0.65000000,1062.77734375,60,0.04654786
0.66666667,946.53646851,51,0.04785352
0.68333333,931.51535034,50,0.04913847
0.70000000,1067.55792236,60,0.05061108
0.71666667,971.37640381,60,0.05195102
0.73333333,916.86068726,50,0.05321575
0.75000000,1056.18197632,60,0.05467267
0.76666667,1003.15942383,60,0.05605643
0.78333333,914.43420410,41,0.05731780
0.80000000,1026.15521240,60,0.05873331
0.81666667,1035.36767578,60,0.06016151
0.83333333,921.92437744,46,0.06143321
0.85000000,989.96099854,60,0.06279882
0.86666667,1063.28640747,60,0.06426553
0.88333333,934.73580933,50,0.06555492
0.90000000,949.92947388,54,0.06686526
0.91666667,1065.87243652,60,0.06833554
0.93333333,950.77255249,50,0.06964706
0.95000000,927.14431763,50,0.07092598
0.96666667,1064.54498291,60,0.07239446
0.98333333,972.97506714,59,0.07373657
1.00000000,908.03533936,45,0.07498913
1.01666667,1034.02825928,60,0.07641549
1.03333333,1005.69729614,60,0.07780275
1.05000000,913.31970215,41,0.07906260
1.06666667,998.18276978,60,0.08043951
1.08333333,1041.95965576,60,0.08187682
1.10000000,924.94985962,48,0.08315269
1.11666667,965.75265503,57,0.08448488
1.13333333,1061.73583984,60,0.08594946
1.15000000,943.54550171,50,0.08725099
1.16666667,943.51528931,53,0.08855250
1.18333333,1064.81146240,60,0.09002135
1.20000000,958.16510010,55,0.09134303
1.21666667,926.65087891,49,0.09262127
1.23333333,1053.86486816,60,0.09407501
1.25000000,985.73803711,59,0.09543475
1.26666667,916.99258423,45,0.09669964
1.28333333,1015.94650269,60,0.09810104
1.30000000,1008.04687500,60,0.09949158
1.31666667,910.63345337,44,0.10074770
1.33333333,866.44946289,40,0.10194297
1.35000000,698.27423096,40,0.10290616
1.36666667,401.94190979,27,0.10346057
1.38333333,231.86293793,20,0.10378043
1.40000000,113.58988571,20,0.10393711
1.41666667,22.74689889,15,0.10396850
1.43333333,0.00000000,0,0.10396850
1.45000000,0.00000000,0,0.10396852
1.46666667,0.00000000,0,0.10396849
1.48333333,0.00000000,0,0.10396849
